id,name,email,phone,date_of_birth,gender,address,college_id
5d2af7be-6b63-41d0-8386-87745c9acbe2,Lori Pham,vreynolds@example.org,405.777.4602x858,1977-12-04,Female,"95148 James Islands Suite 608, East Williamtown, ID 35661",c2ae80e1-48e1-470a-a217-45ae311f4f9d
d5e79eb3-6145-48d1-bf12-d29162a63c90,Angela Stewart,angela28@example.org,276.904.9756x3829,1972-04-13,Male,"7565 Robinson Mission, Lisaborough, GU 24182",c2ae80e1-48e1-470a-a217-45ae311f4f9d
73b33b15-dd8f-423f-8953-28d5b89eeb4b,Robert Skinner,lmason@example.net,(851)641-4895x0609,1963-10-16,Male,"74799 Wright Spurs Suite 894, Stephanieburgh, DE 03110",c2ae80e1-48e1-470a-a217-45ae311f4f9d
d5edbd3c-bc2c-4176-93f1-fb04cb050c94,Jon Anderson,ruizamber@example.com,(539)307-8949x056,1991-04-19,Male,"6090 Nunez Flat Apt. 482, West Vincent, FM 61762",c2ae80e1-48e1-470a-a217-45ae311f4f9d
0e04dc76-fa99-4fce-8e3f-19d9c993709d,Jason Morris,williamsshelly@example.net,(842)541-4538x05273,1978-04-20,Female,"PSC 6836, Box 1704, APO AE 62844",e16fd8d1-5751-4044-ac92-eb089ffffea2
0130901f-7a1d-4d53-8f79-4394845d8ab3,Susan Martinez,whouse@example.net,+1-307-785-4536x018,1986-06-03,Male,"2627 Melissa Avenue, Port Laura, MA 04733",e16fd8d1-5751-4044-ac92-eb089ffffea2
8d59df80-cce2-47db-991a-7cf10f4b908a,Daniel Jordan,donnabrown@example.org,571-820-5733,1972-03-18,Female,"5653 Brian Circles, East Keithberg, OH 00606",e16fd8d1-5751-4044-ac92-eb089ffffea2
f687c13a-b8f4-44dd-8d6e-d7127723ff54,Lisa Saunders,sabrina85@example.com,+1-326-809-4550x5804,1985-10-29,Female,"98361 Jamie Knolls Suite 748, South Anthony, VA 04579",e16fd8d1-5751-4044-ac92-eb089ffffea2
f5a4121b-0486-4ac2-9b9b-4fbc068667e2,Abigail Roberson,randolphscott@example.com,(422)660-6330x621,1975-02-01,Male,"1019 Adams Center Apt. 449, Victoriaberg, ME 37841",e2cb8b65-a4e0-4aa1-8633-1a845484f194
f28992ec-718d-46ea-a6d7-0ab8b64fd105,Christina Lewis,hendersonmichelle@example.org,(808)731-7936,1962-08-09,Male,"70840 Emma Drives, Lake Brentchester, AS 96346",e2cb8b65-a4e0-4aa1-8633-1a845484f194
a32ebf22-b2e8-4668-a00a-f878998e5c0c,Lisa Cook,dawnsullivan@example.com,+1-811-403-2294x58644,1979-02-16,Female,"99289 Shawn Shoal, Lake Lauren, OH 63337",e2cb8b65-a4e0-4aa1-8633-1a845484f194
fef2df06-8048-4ff5-b459-175828543bff,Edward Mullins,deborah48@example.net,001-953-720-5091,1987-01-29,Female,"913 Hester Parkways, Port Sharonhaven, WV 30874",e2cb8b65-a4e0-4aa1-8633-1a845484f194
4e55d0c1-5abb-4137-9b0b-8e5cf5fc54dc,Katelyn Barnett,wmoore@example.net,973.216.7650x66157,1963-12-10,Female,"5388 Blair View Suite 302, Lake Shane, GU 89259",c2271ccc-569e-44ef-b978-ad97fbb93a8d
57e9027a-8f8e-47cc-998f-d91798fd79d2,Jessica Massey,sophia24@example.com,+1-241-953-0182,1978-06-23,Male,"32535 Mclaughlin Crescent Suite 158, Garciaview, CO 91257",c2271ccc-569e-44ef-b978-ad97fbb93a8d
934ca8ff-f0af-4e15-9d99-0bbf7919ffb5,Christopher Miller,hendersondeanna@example.com,001-767-306-0148x6655,1971-11-30,Male,"6850 Linda Island, Edwardfort, MN 30174",c2271ccc-569e-44ef-b978-ad97fbb93a8d
628a0615-9b1f-42e2-936e-44c64b2b9309,Sharon Gilbert,jaredallen@example.com,+1-934-923-7757,1988-12-27,Male,"67195 Knight Ridge Apt. 302, Tylermouth, TX 80391",c2271ccc-569e-44ef-b978-ad97fbb93a8d
04ab8332-0b6d-4849-aaf8-c5b55db65c84,Kevin Williams,sarah39@example.com,5222592501,1972-06-05,Male,"2188 Catherine Freeway Apt. 623, Georgeberg, OR 48839",fba2ca4e-a6cc-46e9-b946-202cf13058ee
d412e418-cd01-4a0e-9771-361b395032e0,Tina Gilbert,ryan92@example.net,(433)447-8293,1968-04-14,Male,"PSC 1142, Box 0763, APO AP 84086",fba2ca4e-a6cc-46e9-b946-202cf13058ee
63b285bb-bd60-40c5-aa2d-1c8dd1dd9a92,Rebecca Reynolds,gibbsjohn@example.com,332-493-3016x847,1976-08-28,Male,"417 Donald Isle Apt. 774, Lake Troystad, MN 16809",fba2ca4e-a6cc-46e9-b946-202cf13058ee
a7d08a7c-8dde-4116-a4eb-6410cbd6e953,Ian Frost,joseph81@example.org,4557776223,1967-05-16,Male,"836 Gray Green, Maryfurt, ND 92573",fba2ca4e-a6cc-46e9-b946-202cf13058ee
