id,name,email,phone,date_of_birth,gender,address,college_id
b2a4465b-4171-40f8-84bf-3823c288eaeb,Clarence Carrillo,johnmartinez@example.net,568-970-6964x521,2007-12-02,Male,"2647 Harvey Centers, East Steven, NE 30525",c2ae80e1-48e1-470a-a217-45ae311f4f9d
e6598944-8a9c-4e86-9ab2-abf8934dd52d,Lisa Howell,tiffany23@example.org,6115888787,2003-11-13,Male,"933 Elizabeth Path, Lake Michelle, KY 62164",c2ae80e1-48e1-470a-a217-45ae311f4f9d
4e5f93d9-4097-4778-a042-e4b1478e1d6a,Cameron Hernandez,cynthia51@example.net,500.659.9096x512,2005-10-09,Male,"95479 Bartlett Oval Suite 895, South Tyler, CA 85146",c2ae80e1-48e1-470a-a217-45ae311f4f9d
f65d6a60-3d1f-4458-8ee7-9f4fb4ce006b,Mary Long,nschneider@example.com,4338292436,2004-03-11,Female,"99323 Michelle Junctions, Jamesfurt, MO 74210",c2ae80e1-48e1-470a-a217-45ae311f4f9d
91b03cc1-8b57-4f24-aed2-88cfc7448add,Mariah James,maryhenderson@example.com,958.399.0265,2002-01-12,Male,"1212 Holland Glens, East Karen, NV 03517",c2ae80e1-48e1-470a-a217-45ae311f4f9d
89e5e760-8205-4b37-aa57-9e84196b2ebc,Juan Schwartz,lharmon@example.net,+1-531-461-7151x279,2003-06-01,Female,"9413 Adam Glens, Samanthaville, IA 67884",c2ae80e1-48e1-470a-a217-45ae311f4f9d
a21e67a1-d192-49a7-b58c-efc4f2b0cd40,Oscar Ramirez,vsanchez@example.com,+1-538-267-0101x176,2007-06-05,Female,"2292 Wyatt Circles, Smithland, KY 66218",c2ae80e1-48e1-470a-a217-45ae311f4f9d
43c357c5-c37a-42b7-b528-c39af38682fd,Mary Morgan,steventaylor@example.net,+1-699-448-8579,2003-02-10,Male,"1173 Foster Squares Suite 458, Elizabethside, OR 72459",c2ae80e1-48e1-470a-a217-45ae311f4f9d
a58c390c-655e-40f5-bf6b-c77e56d0f722,Michael Taylor,qtaylor@example.com,001-814-623-1199x4525,2002-05-25,Male,"PSC 9086, Box 5604, APO AE 39030",c2ae80e1-48e1-470a-a217-45ae311f4f9d
f01d5a72-4f6c-4665-81d2-9ab4ed885485,Daniel Brennan,williamcohen@example.org,224-516-5367x20489,2004-07-19,Female,"4037 Aaron Canyon Suite 426, East Kathyburgh, AK 72868",c2ae80e1-48e1-470a-a217-45ae311f4f9d
f2e92a7f-65e4-48de-9b09-5c44d8b9a0e9,Kristen Kelley,brownchristopher@example.com,788.252.6710x9436,2005-02-19,Female,"70625 Mueller Plain Suite 421, Port Brenda, UT 43140",c2ae80e1-48e1-470a-a217-45ae311f4f9d
5029ca7d-14d1-4a95-ba62-82b52935c35c,Nathan Harris,qhuber@example.com,8977733619,2002-07-18,Female,"88324 Mitchell Shoals, New Dakota, ME 73810",c2ae80e1-48e1-470a-a217-45ae311f4f9d
86d897bd-9e3a-499b-a77f-cb35615343b2,Michael Russell,ashley77@example.com,(821)461-5300,2005-07-24,Male,"PSC 1345, Box 9492, APO AA 70756",c2ae80e1-48e1-470a-a217-45ae311f4f9d
5d2732f0-8478-4457-b8b3-ea3dd4eaa9ad,Amanda Mitchell,ejohnson@example.net,9512418308,2002-09-08,Male,"649 Angela Turnpike Apt. 976, North Gary, KY 54955",c2ae80e1-48e1-470a-a217-45ae311f4f9d
2aca9039-4fbe-40d2-8d57-2f6a0821c203,Joseph Johnson,otaylor@example.com,001-655-558-5901x925,2004-12-29,Female,"4889 Monique Islands, Gallagherstad, VI 96899",c2ae80e1-48e1-470a-a217-45ae311f4f9d
79d54205-289e-4bca-bea5-f90692cb5f0c,Scott Willis DDS,ispencer@example.com,714.341.1275x2513,2004-07-18,Male,"Unit 6072 Box 8303, DPO AP 21462",c2ae80e1-48e1-470a-a217-45ae311f4f9d
